DEBUG 	2017-07-13 15:12:50 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:12:50 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:05 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:05 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:11 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:11 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:27 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:27 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:15:59 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:15:59 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:15:59 - Début de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:15:59 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:15:59 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903456
DEBUG 	2017-07-13 15:15:59 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:15:59 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903457
DEBUG 	2017-07-13 15:15:59 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:15:59 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903458
DEBUG 	2017-07-13 15:15:59 - Fin de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:16:00 - Début de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:16:00 - Fin de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:16:08 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:16:08 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:16:08 - Début de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:16:08 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:16:08 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903459
DEBUG 	2017-07-13 15:16:08 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:16:08 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903460
DEBUG 	2017-07-13 15:16:08 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:16:08 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903461
DEBUG 	2017-07-13 15:16:08 - Fin de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:16:08 - Début de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:16:08 - Fin de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:17:51 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:17:51 - DBGetter::getColumns (appel par checkUser) sql:SELECT `id` FROM sf_guard_user  WHERE 1=1 AND id="32" ORDER BY id
DEBUG 	2017-07-13 15:17:51 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:17:51 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:17:51 - DBGetter::getColumns (appel par checkEmplacementAndInsert) sql:SELECT `code_emplacement` FROM ref_emplacement  WHERE 1=1 AND code_emplacement="1" ORDER BY code_emplacement
DEBUG 	2017-07-13 15:17:51 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:17:51 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:17:51 - DBGetter::getColumns (appel par checkEmplacementAndProduitType) sql:SELECT `id_mouvement` FROM wrk_mouvement  WHERE 1=1 AND code_emplacement="1" AND ref_produit="1" AND type="prise" AND heure_prise > "2017-08-12" ORDER BY code_emplacement
DEBUG 	2017-07-13 15:17:51 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:17:51 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:17:51 - DBGetter::getColumns (appel par checkUser) sql:SELECT `id` FROM sf_guard_user  WHERE 1=1 AND id="32" ORDER BY id
DEBUG 	2017-07-13 15:17:51 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:17:51 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
